057	Sie müssen warten	Yatawajab A'alaykoum alintizar	You have to wait	Vous devez attendre/ Il faut que vous attendiez	Počakati morate.	Je moet wachten / jullie moeten wachten.	آپ کو انتظار کرنا پڑے گا۔	Aap ko intezar karna paray ga.	আপনাকে / তোমাকে একটু অপেক্ষা করতে হবে 	apnake / tomake ektu opekkha korte hobe	باید صبر کنین.	baayad sabr konin.	باید منتطر شې     	bayad muntazer shay	Duhet të prisni	Morate (pl) / moraš (sg) čekati. (Morate/moraš da sačekaš.)	Musi Pan (m) / Pani (f) poczekać.	Мора да почекате (Mora da pochekate)	Вы должны / Ты должен /Ты должна подождать	S: Musíte počkať / C: Musíte počkat	پیویسته چاوه ریبکه یت	molia pochakaite/ Моля почакайте!	Tu mecburî bisekinî	S: Du måste vänta N: Du må vente / D: Du skal vente	Sinun pitää odottaa		Deve/devi aspettare 	Bekle / Beklemen lazım	Debe esperar	Kérem várjon	Precisa de esperar	Prépi na periménete [pl]/ Prépi na periménis	Πρέπει να περιμένετε [pl]/ πρέπει να περιμένεις	Vă rugăm să așteptați	Jums reikia palaukti	Kailangan mong maghintay	Bạn phải chờ			
058	Wie lange müssen wir hier warten?	Kam yatawajab Aalayna al'intizar houna?	How long do we have to wait here?	Combien de temps faut-il attendre? 	Kako dolgo moramo čakati tukaj?	Hoe lang moeten we hier wachten?	ہمیں یہاں اور کتنی دیر انتظار کرنا ہو گا؟	Humain yahan aur kitni der intezaar karna hoga?	আমাদের এখানে কতক্ষণ অপেক্ষা করতে হবে?	amader ekhane kotokkhon opekkha korte hobe	برای چه مدّت باید اینجا بمانیم؟ /  / 	Baraye chi moddat baayad injaa bemaanim?	څومره انتظار باید وباسو     	tsumra intizar bayad u-baasu	Sa kohë duhet të presim këtu?	Koliko dugo moramo ovdje čekati? / Koliko dugo moramo ovde da čekamo?	Jak długo musimy tu czekać?	Колку долго треба да чекаме? (Kolku dolgo treba da chekame?)	Как долго мы еще должны ждать?	S: Ako dlho tu musíme čakať / C: Jak dlouho tady musíme čekat?	پیویسته بؤ ماوه ى چه ند لیره چاوه ریبکه ین	kolko vreme triabva da chakame?/ Колко време трябва да чакам?	Ciqasî em mecburin li vir bisekinin?	S: Hur länge måste vi vänta här? Hvor lenge må vi vente her? / D: Hvor længe skal vi vente her?	Kuinka pitkään  / meidän on odotettava?		Quanto tempo dobbiamo aspettare qui?	Burada ne kadar bekleyeceğiz?	¿Cuánto tiempo tenemos que esperar aquí?	Meddig kell itt várnunk?	Quanto tempo temos de esperar aqui?	Póso prépi na periménume edó?	Πόσο πρέπει να περιμένουμε εδώ;	Cât timp rămânem aici?	Kiek mums čia reikės laukti?	Gaano kami katagal maghihintay?	Tôi phải chờ bao lâu nữa?			
059	ein Tag	yawm wáhid	one day	un jour	En dan	een dag	ایک دن	Ek din	এক দিন 	ek din	یک روز	yak roz	یوه ورځ     	yawa wraz	Një ditë	Jedan dan	Dzień	Еден ден (Eden den)	Один день	S: Jeden deň / C: Jeden den	یه ک رؤز	edin den/ един ден	Rojek	S: En dag N: En dag / D: En dag	Yksi päivä		Un giorno	Bir gün	Un día	Egy napot.	Um dia	Μía mera	Μία μέρα	o zi	Viena diena	Isang araw	1 ngày			
060	eine Stunde	sá'a wáhda	one hour	une heure	Ena ura	een uur	ایک گھنٹہ	Ek ghanta	এক ঘন্টা	ek ghonta	یک ساعت	yek saa’at	یو ساعت   	yaw saa'at	Një orë	Sat vremena	Godzina	Еден час (Eden chas)	Один час	S: Jedna hodina / C: Jedna hodina	یه ک سه عات	edin chas/един час	Saetek	S: En timme N: En time / D: En time	Yksi tunti		Un’ora	Bir saat	Una hora	Egy órát.	Uma hora	Μía óra	Μία ώρα	o oră	Viena valanda	Isang oras	1 giờ			
061	ein Monat		one month		En mesec	een maand	ایک مہینہ	Ek mahina							Një muaj	Mjesec (mesec) dana	Miesiąc	Еден месец (Eden mesets)	Один месяц			edin mesets/ един месец	mehek	S: En månad			Un mese	Bir ay	Un mes	Egy hónapot.	Um mês.	Enas minas	Ένας μήνας	 o lună	Vienas mėnuo	Isang buwan	1 tháng			
062	sehr bald	qaríban	very soon	très bientôt	Kmalu.	binnenkort; heel snel	بہت جلد	Bohat jald / 	খুব শীঘ্রি	khub shighri	به زود	ba zood	ډیر ژر    	dder zhar	Shumë shpejt	Uskoro	wkrótce	Наскоро (Naskoro)	Очень скоро	S: Veľmi skoro.  / C: Velmi brzo.	به زووترين كات	skoro / скоро	Pir nêz de	S: Strax N: Straks / D: Snart	Kohta		Molto presto	Çok yakında	Muy pronto	Hamarosan	Logo / em breve	Polí síndoma	Πολύ σύντομα	în curând	Labai greitai	Sa lalong madaling panahon	sẽ sớm thôi			
063	morgen	ghadan     / Bokra	tomorrow	demain.	Jutri.	morgen	کل	Kal / 	আগামী কাল 	agami kal	فردا	fardaa			nesër	Sutra	jutro	Утре (Utre)	Завтра	S: zajtra  / C: zítra		utre / утре	sibê	S: Imorgon D: I morgen	Huomenna		Domani	Yarın	Mañana	Holnap	amanhã	avrio	αύριο	mâine	Rytoj	bukas	ngày mai			
064	übermorgen	ba'ada ghad    / Baid Bokra	the day after tomorrow	après-demain	Pojutrišnjem.	overmorgen	پرسوں	Parson / 	আগামী পরশু	agami porshu	دو روز بعد	du roz baad			pasnesër	Prekosutra	pojutrze	Задутре (Zadutre)	Послезавтра	S: pozajtra / C: pozítří		v drugi den / в други ден	du sibê	S: I övermorgon D: I overmorgen	Ylihuomenna		Dopodomani	Ertesi gün	Pasado mañana	Holnapután	depois de amanhã	methávrio	μεθαύριο	poimâine	Poryt	sa makalawa	ngày kia			
065	nächste Woche	al 'usbou' al muqbel	next week	la semaine prochaine	Naslednji teden.	volgende week	اگلے ہفتے	aglay haftay / 	পরের সপ্তাহে	porer shoptahe	 هفته دیگه 	haftaye digaa			javës tjetër	Sljedeći tjedan (Sledeće nedelje)	w przyszłym tygodniu	Следната недела (Slednata nedela)	На следующей неделе	S: budúci týždeň / C: příští týden		drugata sedmitsa / другата седмица	hefteya bê	S: Nästa vecka D: Næste uge	Ensi viikolla		Settimana prossima / La prossima settimana	Gelecek hafta	La semana próxima/ la semana que viene	Jövő héten	a próxima semana	Tin epomeni vdomada	Την επόμενη βδομάδα	săptămâna viitoare	Kitą savaitę	sa susunod na linggo	tuần sau			
066	Ich komme bald zurück	Sa'aoudou qariban	I will be back soon	J'arrive/Je reviendrai bientôt    	Kmalu bom nazaj.	Ik kom snel terug.	میں جلدی واپس آونگا	Mein jaldi waapis aoonga.	আমি খুব তাড়াতাড়ি ফিরে আসবো	ami khub taratari fire ashbo	زود پس می آیم.	zood pas miyaayam.	زه ژر بیرته راځم   	za zhar byarta ra-zam	Kthehem së shpejti	Vratit ću se brzo. (Vratiću se brzo.)	Zaraz wracam	Ќе се вратам наскоро (Kje se vratam naskoro)	Я скоро вернусь	S: Hneď sa vrátim / C: Brzy se vrátím	زوو ده گریمه وه لات	shte se varna barzo/ ще се върна бързо	Ez ê di demeke nêz de vegerim	S: Jag kommer strax tillbaka N: Jeg kommer straks tilbake / D: Jeg kommer snart tilbage	Tulen kohta takaisin		Torno fra poco	Birazdan geliyorum	Volveré pronto	Hamarosan visszajövök.	Já volto / Volto já	Tha epistrépso sídoma	Θα επιστρέψω σύντομα	Mă întorc imediat.	Aš tuoj grįšiu	Babalik din ako kaagad	Tôi sẽ trở lại sớm			
067	1 eins, 2 zwei, 3 drei, 4 vier 5 fünf, 6 sechs, 7 sieben, 8 acht, 9 neun, 10 zehn	wahad, itnen, talateh, arba'a, khamseh, sitteh, saba'a, tamaniyeh, tisa', a'shara 	one, two, three, four, five, six, seven, eight, nine, ten	un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	1 ena, 2 dva, 3 tri, 4 štiri, 5 pet, 6 šest, 7 sedem, 8 osem, 9 devet, 10 deset	een, twee, drie, vier, vijf, zes, zeven, acht, negen, tien / 	ایک، دو، تین، چار، پانچ، چھ، سات، آٹھ، نو، دس	Ek, Do, Teen, Chaar, Paanch, Chay, Saat, Aath, Naw, Das	১ এক, ২ দুই, ৩ তিন, ৪ চার, ৫ পাঁচ, ৬ ছয়, ৭ সাত, ৮ আট, ৯ নয়, ১০ দশ  	ek, dui, tin, char, pa(n)ch, chhoy, sat, aat, noy, dosh	یک،دو،سه،چهار،پنج،شش،هفت،هشت،نه،ده	yak, du, seh, chaar, panj, shash, haft, hasht, noh, dah	یو، دوه، درې، څلور، پنځه، شپږ، اووه، اته، نه، لس    	yaw, dwa, dre, tsalor, pindza, shpag, awá, atá, naha, las	Një, dy, tre, katër, pesë, gjashtë, shtatë, tetë, nëntë, dhjetë	Jedan, dva, tri, četiri, pet, šest, sedam, osam, devet, deset	jeden, dwa, trzy, cztery, pięć, sześć, siedem, osiem, dziewięć, dziesięć 	Еден, два, три, четири, пет, шест, седум, осум, девет, десет (Eden, dva, tri, chetiri, pet, shest, sedum, osum, devet, deset)	Один, два, три, четыре, пять, шесть, семь, восемь, девять, десять	C: jedna, dva, tři, čtyři, pět, šest, sedm osm, devět, deset	یه ک . دوو . سئ . چوار . پینج . شه ش . حه وت . هه شت . نؤ . ده 	едно, две, три, четири, пет, шест, седем, осем, девет, десет ( edno, dve, tri, chetiri, pet, shest, sedem, osem, devet, deset)	Yek, du, sê, çar, pênc, şeş, heft, heşt, neh, deh	S: Ett, två tre, fyra, fem, sex, sju, åtta, nio, tio N: En, to, tre, fire, fem, seks, sju, åtte, ni, ti / D: En, To, Tre, Fire, Fem, Seks, Syv, Otte, Ni, Ti.	yksi, kaksi, kolme, neljä, / viisi, kuusi, seitsemän, / kahdeksan, yhdeksän, / kymmenen		Uno, due, tre, quattro, cinque, sei, sette, otto, nove, dieci	bir, iki, üç,dört, beş, altı, yedi, sekiz, dokuz,on	Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez	egy, kettő, három, négy, öt, hat, hét, nyolc, kilenc, tíz	Um, dois, três, quatro, cinco, seis, sete, oito, nove, dez	(1) éna, (2) dío, (3) tría, (4) téssera, (5) pénde, (6) éksi, (7) eftá, (8) októ, (9) enéa, (10) déka	(1) ένα, (2) δύο, (3) τρία, (4) τέσσερα, (5) πέντε, (6) έξι, (7) εφτά, (8) οχτώ, (9) εννέα, (10) δέκα	unu, doi, trei, patru, cinci, șase, șapte, opt, nouă, zece	Vienas, du, trys, keturi, penki, šeši, septyni, aštuoni, devyni, dešimt	isa, dalawa, tatlo, apat, lima, anim, pito, walo, siyam, sampu 	một, hai, ba, bốn, năm, sáu, bảy, tám, chín, mười			
068	Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag		Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	lundi, mardi, mercredi, jeudi, vendredi, samedi, dimanche	Ponedeljek, Torek, Sreda, Četrtek, Petek, Sobota, Nedelja	maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag, zondag	سوموار، منگل، بدھ، جمعرات، جمعہ، ہفتہ، اتوار	Somwaar, mangal, budh, Jumeirat, Jumaa, Hafta, Itwaar			یکشنبه. دوشنبه. سه شنبه. چهارشنبه. پنج شنبه. جمعه. روز شنبه	Yak-shanbe, Du-shanbe, Seh-shanbe, Chaar-shanbe, Panj-shanbe, Juma, Rooz-e-shanbe			 /  / E hënë, e martë, e mërkurë, e enjte, e premte, e shtunë, e / dielë /  / 	Ponedjeljak, utorak, srijeda (sreda), četvrtak, petak, subota, nedjelja (nedelja)	poniedziałek, wtorek, środa, czwartek, piątek, sobota, niedziela	понеделник, вторник, среда, четврток, петок, сабота, недела (ponedelnik, vtornik, sreda, chetvrtok, petok, sabota, nedela)	Понедельник, вторник, среда, четверг, пятница, суббота, воскресение	Pondělí, úterý, středa, čtvrtek, pátek, sobota, neděle		ponedelnik/понеделник, vtornik/вторник, sriada/ сряда, chetvartak/ четвъртък, petak/петък, sabota/ събота, nedelya/ неделя	duşem, seşem,çarşem,pênçşem,în,şemî, yekşem	S: måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag			lunedì, martedì, mercoledì, giovedì, venerdì, sabato, domenica	pazartesi, salı, çarşamba, perşembe, cuma, cumartesi, pazar	Lunes, martes, miércoles, jueves, viernes, sábado, domingo	hétfő, kedd, szerda, csütörtök, péntek, szombat, vasárnap	segunda-feira / terça-feira / quarta-feira / quinta-feira / sexta-feira / sábado / domingo	Deftéra, Tríti, Tetárti, Pémpti, Paraskeví, Sávato, Kyriakí	Δευτέρα, Τρίτη, Τετάρτη, Πέμπτη, Παρασκευή, Σάββατο, Κυριακή	luni, marți, miercuri, joi, vineri, sâmbătă, duminică	Pirmadienis, antradienis, trečiadienis, ketvirtadienis, penktadienis, šeštadienis, sekmadienis	Lunes, Martes, Miyerkules, Huwebes, Biyernes, Sabado, Linggo 	thứ hai, thứ ba, thứ tư, thứ năm, thứ sáu, thứ bảy, chủ nhật			
069	Januar, Februar, März, April, Mai, Juni, Juli, August, September, Oktober, November, Dezember		January, February, March, April, May, June, July, August, September, October, November, December	janvier, février, mars, avril, mai, juin, juillet, août, septembre, octobre, novembre, décembre	Januar, Februar, Marec, April, Maj, Junij, Julij, Avgust, September, Oktober, November, December	januari, februari, maart, april, mei, juni, juli, augustus, september, oktober, november, december	جنوری، فروری، مارچ، اپریل، مئی، جون، جولائی، اگست، ستمبر، اکتوبر، نومبر، دسمبر	Janwari, Farwari, March, Aprail, Mai, Joon, July, Agast, Sitember, Uktoober, November, December							 /  / Janar, shkurt, mars, prill, maj, qershor, korrik, gusht, / shtator, tetor, nëntor, dhjetor /  / 	1. siječanj (januar), 2. veljača (februar), 3. ožujak (mart), 4. travanj (april), 5. svibanj (maj), 6. lipanj (juni), 7. srpanj (juli), 8. kolovoz (august), 9. rujan (septembar), 10. listopad (oktobar), 11. studeni (novembar), 12. prosinac (decembar)	1.styczeń, 2.luty, 3.marzec, 4.kwiecień, 5.maj, 6.czerwiec, 7.lipiec, 8.sierpień, 9.wrzesień, 10.październik, 11.listopad, 12.grudzień	1. јануари, 2. фебруари, 3. март, 4. април, 5. мај, 6. јуни, 7. јули, 8. август, 9. септември, 10. октомври, 11. ноември, 12. декември (januari, februari, mart, april, maj, juni, juli, avgust, septemvri, oktomvri, noemvri, dekemvri)	Январь, февраль, март, апрель, май, июнь, июль, август, сентябрь, октябрь, ноябрь, декабрь			yanuari/януари, Fevruari/февруари, mart/март, april/април,mai/ май, juni/ юни, juli/юли, avgust/август, septemvri/септември, oktomvri/октомври, noemvri/ноември, dekemvri/декември	çile, sibat, adar, nîsan, gulan, hezîran,tîrmeh, tebax,îlon, cotmeh, mijdar, kanun	S: januari, februari, mars, april, maj, juni, juli, augusti, september, oktober, november, december			gennaio, febbraio, marzo, aprile, maggio, giugno, luglio, agosto, settembre, ottobre, novembre, dicembre	ocak, şubat, mart, nisan, mayıs, haziran, temmuz, ağustos, eylül, ekim, kasım, aralık	Enero, febrero, marzo, abril, mayo, junio, julio, agosto, septiembre, octubre, noviembre, diciembre.	január, február, március, április, május, június, július, augusztus, szeptember, október, november, december	janeiro, fevereiro, março, abril, maio, junho, julho, agosto, setembro, outubro, novembro, dezembro	Ianuários, Fevrouários, Mártios, Aprílios, Máios, Iúnios, Iúlios, Ávgustos, Septémvrios, Októvrios, Noémvrios, Dekémvrios	Ιανουάριος, Φεβρουάριος, Μάρτιος, Απρίλιος, Μάιος, Ιούνιος, Ιούλιος, Αύγουστος, Σεπτέμβριος, Οκτώβριος, Νοέμβριος, Δεκέμβριος	Ianuarie, februarie, martie, aprilie, mai, iunie, iulie, august, septembrie, octombrie, noiembrie, decembrie	Sausis, vasaris, kovas, balandis, gegužė, birželis, liepa, rugpjūtis, rugsėjis, spalis, lapkritis, gruodis	Enero, Pebrero, Marso, Abril, Mayo,Hunyo, Hulyo, Agosto, Setyembre, Oktubre, Nobyembre, Disyembre	tháng một, tháng hai, tháng ba, tháng tư, tháng năm, tháng sáu, tháng bảy, tháng tám, tháng chín, tháng mười, tháng mười một, tháng mười haitám, tháng chín, tháng mười, tháng mười một, tháng mười hai			
070																																								
071	Gesundheit		Medical Terms	Les Termes Médicaux	Zdravje	Gezondheid / Medische Termen	طبی الفاظ	Tibi Alfaaz							Terma mjekësore	Medicinski termini	Zdrowie	Медицински термини					Tenduristî	S: Hälsa			Termini Medici	Tıp Terimleri / Sağlik	Términos Médicos	Orvosi kifejezések	Termos Médicos	Iatrikí óri	Ιατρικοί όροι	Termeni medicali	Medicinos terminai	Mga terminolohiyang medikal/pangkalusugan				
072	Ich brauche einen Arzt.	Bahtaj doktor  / Bedi Doktor	I need a doctor	j'ai besoin d'un médecin.	Potrebujem zdravnika	Ik heb een dokter nodig.	مجھے ڈاکٹر کی ضرورت ہے۔ / 	Mujhey doctor ki zaroorat hai.	আমাকে ডাক্তারের কাছে যেতে হবে	amake daktarer kachhe jete hobe	دکتر ضرورت دارم	Doctor zaroorat daaram.	طبيب مي په کار دی   / 	tabib me pakaar dai	Kam nevojë për doktor/mjek	Treba mi liječnička pomoć. (Treba mi doktor.)	Potrzebuję lekarza.	Ми треба доктор (Mi treba doktor)	Мне нужен врач / доктор	S: Potrebujem doktora / C: Potřebuji doktora	پیویستم به دکتوره	Triabva mi lekar / трябва ми лекар	Textorek lazim e ji bo min.	S: Jag behöver en läkare / N: Jeg trenger en lege / D: Jeg har brug for en læge	Tarvitsen lääkärin / Minun pitää tavata lääkäri		Ho bisogno di un medico	Doktora gitmem lazım	Necesito un... doctor / médico	Orvosra lenne szükségem	Preciso de um médico	Hriázome éna giatró	Χρειάζομαι ένα γιατρό.	Am nevoie de un medic.	Man reikia gydytojo / Man reikia daktaro	Kailangan ko ng doktor	Tôi cần khám bác sỹ			
073	Mir ist schlecht.	Qalbi yata'lam	I feel sick/ I don't feel well 	Je me sens mal/Je ne me sens pas bien	Slabo mi je.	Ik ben misselijk.	میری طبعیت ٹھیک نہیں ہے	Meri tabiyat theek nahin hai. / 	আমার বমি পাচ্ছে / আমার শরীর খারাপ লাগছে	amar bomi pachchhe	نجور هستم.	Najor astam.			Ndihem sëmurë/nuk ndihem mirë.	Nije mi dobro. / Ne osećam se dobro.	Słabo mi.	Ми се гади (Mi se gadi)	у меня рвота	S, C: Je mi zle.		Повръща ми се (povryshta mi se)	Dilê min dixelê.	S: Jag mår illa N: Jeg føler meg dårlig	Minulla on huono olo / En voi hyvin		Ho la nausea	Bulantım var	Tengo nauseas	Rosszul vagyok.	Estou enjoado/a	Mu érhete anagúla.	Μου έρχεται αναγούλα.	Mi-e rău.	Man bloga	Masama ang pakiramdam ko	Tôi không được khoẻ/Tôi bị ốm			
74	Ich bin krank.	Ana maríd   / Mardan 	I’m ill / I’m sick	Je suis malade	Bolan sem (m)  Bolana sem (f) 	Ik ben ziek.	میں بیمار ہوں۔ / 	Mein beemar hoon	আমি অসুস্থ / আমার শরীর খারাপ	ami osustho / amar shorir kharap	مریض شدم	mariz shodam	زه ناجوړ يم 	za najorr yam 	Jam sëmurë	Bolestan sam (m) / Bolesna sam (f)	Jestem chory (m) / Jestem chora (f)	Болен сум (Bolen sum (m)) / Болна сум (Bolna sum (f))	Я болен / больна	S: Je mi zle. / C: Jsem nemocný. / / Je mi špatně.	ناساغم	Bolen sam /болен съм,болна съм	Ez nexweş im	S: Jag är sjuk / N: Jeg er syk / D: Jeg er syg	Olen sairas		Sono malato	Hastayım	Estoy enfermo / enferma	Beteg vagyok	Estou doente	Íme árostos [m]/ íme árosti [f]	Eίμαι άρρωστος (m) / Είμαι άρρωστη (f)	Sunt bolnav.	Aš sergu	May sakit ako	Tôi bị ốm		yes hivant em 	
75	(mein Kind) ist krank	tifli maríd	(My child) is sick	Mon enfant est malade	Moj otrok je bolan	(Mijn kind) is ziek.	  میرا بچہ بیمار ہے	mera bacha beemar hai	আমার বাচ্চাটার অসুখ	amar bachchatar oshukh	بچه ام مریض شد.	bachem mariz shod.	(زما بچه) ناجوړ دی  / 	zma bacha najorr dai	Fëmija im është sëmurë	Moje dijete je bolesno. (Moje dete je bolesno.)	Moje dziecko jest chore.	Моето дете е болно (Moeto dete e bolno)	Мой ребенок болен	S: Moje dieťa niečo bolí / C: Moje dítě něco bolí.	منداله که م نه خوشه	moeto dete e bolno / моето дете е болно	(Zarokê min) nexweş e	S: Mitt barn är sjukt / N: Mitt barn er sykt / D: Mit barn er syg	Lapseni on sairas / Lapseni on kipeä		[mio figlio/mia figlia] si sente male	Çocuğum hasta	Mi hijo está enfermo / Mi hija está enferma	A gyerekem beteg	O meu filho/a minha filha está doente	To pedí mu íne árosto	(το παιδί μου) είναι άρρωστο	Copilul meu este bolnav.	(Mano vaikas) serga	May sakit ang anak ko	Con tôi bị ốm			
	Ich bin schwanger	 Ana hámil	I am pregnant	Je suis enceinte	Noseča sem	Ik ben zwanger.	میں حاملہ ہوں	Mei haamela hoo.	আমি গর্ভবতী	ami gorbhoboti	من حامله دار استم.	Ma haamela daar astam.	زه بلربه یم/حمل لرم      	za blarba yam / hamal laram	Jam shtatzënë	Trudna sam.	Jestem w ciąży	Бремена сум. (Bremena sum)	Я беременна	S: Som tehotná.  / C: Jsem těhotná.	من حامیله م 	Bremenna sum / Бременна съм	Ez ducanî me	S: Jag är gravid N: Jeg er gravid / D: Jeg er gravid	Olen raskaana / / odotan lasta.		Sono incinta	hamileyim	Estoy embarazada	Terhes vagyok	Estou grávida	Íme éngios	Είμαι έγκυος	Sunt gravidă.	Aš nėščia	Buntis ako	Tôi mang thai			
076	Ich habe eine allergische Reaktion	Indi hasasya	I am having an allergic reaction	je fais une allergie / j'ai une réaction allergique	Imam alergično reakcijo	Ik heb een allergische reactie.	مجھے اس کی وجہ سے الرجی ہو رہی ہے	Mujhay iss ki wajah say allerji ho rahi hai							Kam reaksion alergjik	Imam alergijsku reakciju.	Mam reakcję alergiczną	Имам алергична реакција. (Imam alergichna reakcija)	У меня аллергическая реакция	mám alergickou reakci		Imam alergitchna reaktija / Имам алергична реакция	Alerjiya min heye.	S: Jag har en allergisk reaktion			Ho una reazione allergica.	Alerjik tepki gösteriyorum	Estoy teniendo una reacción alérgica	Allergiás vagyok.	Estou a ter uma reação alérgica	Ého mia allergikí antídrasi	Έχω μία αλλεργική αντίδραση.	Am o reacție alergică	Man alerginė reakcija	May allergy ako	Tôi bị dị ứng			
077	Mir ist schwindelig.	Ahis bi dowar   / Daych	I feel dizzy.	j'ai la tête qui tourne	Vrti se mi.	Ik ben duizelig.	مجہے چکر آ  رہے ہیں	Mujhey chakkar aa rahay hain / 	আমার মাথা ঘুরছে	amar matha ghurchhe	من  سر چرخا هستم	Man zar charkha hastam. 			Më merren mendt.	Vrti mi se u glavi. / Hvata me nesvestica.	Mam zawroty głowy.	Ми се врти (Mi se vrti)	у меня кружится голова	S: Mám závrat. / C: Mám závrať.		Вие ми се свят (Vie mi se svyat)	Ez gêj im	S: Jag känner mig svimfärdig N: Jeg er svimmel	Minua huimaa		Mi gira la testa/Ho i capogiri	Başım dönüyor	Estoy mareada	Szédülök	Estou tonto/a	Zalízome	Ζαλίζομαι	Ma simt amețită.	Man svaigsta galva	Inaantok ako	Tôi bị choáng đầu			
	Ich leide an Diabetes		I am diabetic	je suis diabétique / j'ai le diabète	Diabetik sem.	Ik heb diabetes.	میں ذیابیطس ہوں	Mein ziabetis hoon							Jam diabetik	Ja sam dijabetičar (dijabetičarka).	Mam cukrzycę	Имам дијабетес (Imam dijabetes)	У меня диабет	mám cukrovku		Imam dijabet / Имам диабет	Şekirê min heye	S: Jag har diabetes			Ho diabete.	Şeker hastasıyım.	Soy diabético/diabética	Cukorbeteg vagyok.	Tenho diabetes	Eho diaviti	Έχω διαβήτη	Am diabet	Aš diabetikas	May diabetes ako	Tôi bị bệnh tiểu đường			
078	Ich brauche Insulin		I need insulin	J'ai besoin d'insuline	Potrebujem insulin.	Ik heb insuline nodig. 	مجھے انسولین چاھیے	Mujhay insulin chaheeyeh							Kam nevojë për insulinë	Potreban mi je inzulin (insulin).	Potrzebuję insuliny	Ми е потребен инсулин. (Mi e potreben insulin).	Мне необходим инсулин	potřebuji inzulin		Triabwa mi insulin / Трябва ми инсулин	Insulin ji bo min hewce ye.	S: Jag behöver insulin			Ho bisogno dell'insulina.	İnsüline ihtiyacım var.	Necesito insulina	Inzulinra lenne szükségem.	Preciso de insulina	Hriazome insulíni	Χρειάζομαι ινσουλίνη	Am nevoie de insulină	Man reikia insulino	Kailangan ko ng insulin	Tôi cần insulin			
079	Ich wurde vergewaltigt.	Lakad tamma Ightissabi  / Eghtassabouni	I was raped.	J'ai été violé(e).	Posilili so me.	Ik ben verkracht.	میری عزت لوتی گئی	Meri izzat looti gayee / 	আমাকে ধর্ষণ করা হয়েছে	amake dhorshon kora hoyechhe	من تجاوز شدم.	Ma tajaawoz shodam.			Më kanë përdhunuar.	Silovana sam.	Zostałam (f) / zostałem (m) zgwałcony.	Ме силуваа (Me siluvaa)	меня изнасиловали	S: Znásilnili ma. / C: Znásilnili mě.		iznasilikha me / изнасилиха ме	Tecawizî min kirin	S: Jag har blivit våldtagen N: Jeg har blitt voldtatt	Minut on raiskattu / Minut raiskattiin		Ho subito uno stupro / Sono stato stuprato / Sono stata stuprata	Tecavüze uğradım	Fui violada / Me han violado 	Megerőszakoltak	Fui violada	Me ékhun viási	Με έχουν βιάσει	Am fost violată.	Mane išprievartavo	Ginahasa ako / Pinagsamantalahan ako (softer way of saying it)	Tôi bị hiếp dâm			
080	Ich habe Bauchschmerzen.	indi alam fi batni	I have a stomach ache.	j'ai mal au ventre	Boli me trebuh	Ik heb buikpijn. / 	میرے پیٹ میں درد ہے۔	Mere peyt mei dard hai.	আমার পেট ব্যথা করছে	amar pet betha korchhe	معده ام درد می کند.	Medam dard mekona.	خېټه مې خوږېږي    	khetta me khugegi	Kam dhimbje stomaku	Boli me trbuh (stomak).	Boli mnie brzuch.	Ме боли стомакот (Me boli stomakot)	У меня болит живот	S: Bolí ma brucho / C: Bolí mě břicho	سکم دیشیت	Boli me korema / боли ме корема	Zikê min diêşe	S: Jag har ont i magen / N: Jeg har vondt i magen / D: Jeg har ondt i maven	Minua sattuu vatsaan / Minulla on maha kipeä / Minulla on vatsa kipeä		Ho mal di pancia/Mi fa male la pancia	Midem ağrıyor / /  / Karnım ağrıyor	Me duele el estómago	Fáj a hasam	Dói-me a barriga	Ponái i kiliá mu	Πονάει η κοιλιά μου	Mă doare stomacul.	Man skauda pilvą	Masakit ang tiyan ko	Tôi bị đau dạ dày			
081	Ich habe Fieber	Himma	I have a fever / a temperature	j'ai de la fièvre	Imam vročino	Ik heb koorts.	مجھے بخار ہے۔	Mujhey bukhaar hai	আমার জ্বর	amar jor	تب دارم.	Tab daram.	زما تبه ده   	 zma taba da	Kam ethe/temperaturë	Imam temperaturu.	Mam gorączkę / temperaturę.	Имам температура (Imam temperatura)	у меня температура	S: Mám horúčku / Mám teplotu / C: Mám horečku / / Mám teplotu	من تام هه یه	Imam temperatura / Имам температура	Germ/ Germa laşê min heye	S: Jag har feber N: Jeg har feber / D: Jeg har feber	Minulla on kuumetta/ / lämpöä.		Ho la febbre	ateş / ateşi(m) var	Tengo fiebre	Lázas vagyok	Tenho febre	Ého piretó	Έχω πυρετό	Am febră.	Aš karščiuoju / aš turiu temperatūros	May lagnat ako	Tôi bị sốt			
